x	y	z
1595.4	-217.53	83.3912
1597.41	-217.766	83.4602
1597.41	-217.766	83.4602
1602.26	-218.334	83.6269
1607.11	-218.902	83.7936
1611.96	-219.47	83.9603
1616.81	-220.039	84.127
1621.66	-220.607	84.2937
1626.51	-221.175	84.4604
1631.36	-221.744	84.6271
1636.21	-222.312	84.7938
1641.06	-222.88	84.9606
1645.91	-223.449	85.1273
1650.76	-224.017	85.294
1655.61	-224.585	85.4607
1660.47	-225.154	85.6274
1665.32	-225.722	85.7941
1670.17	-226.29	85.9608
1675.02	-226.858	86.1275
1679.87	-227.427	86.2942
1684.72	-227.995	86.4609
1689.57	-228.563	86.6276
1694.42	-229.132	86.7943
1699.27	-229.7	86.961
1704.12	-230.268	87.1277
1708.97	-230.837	87.2944
1713.82	-231.405	87.4612
1718.67	-231.973	87.6279
1723.52	-232.541	87.7946
1728.37	-233.11	87.9613
1733.22	-233.678	88.128
1738.07	-234.246	88.2947
1742.92	-234.815	88.4614
1747.77	-235.383	88.6281
1752.62	-235.951	88.7948
1757.48	-236.519	88.9615
1762.33	-237.088	89.1282
1767.18	-237.656	89.2949
1772.03	-238.224	89.4616
1776.88	-238.793	89.6283
1781.73	-239.361	89.795
1786.58	-239.929	89.9618
1791.43	-240.498	90.1285
1796.28	-241.066	90.2952
1801.13	-241.634	90.4619
1805.98	-242.202	90.6286
1810.83	-242.771	90.7953
1815.68	-243.339	90.962
1820.53	-243.907	91.1287
1825.38	-244.476	91.2954
1830.23	-245.044	91.4621
1835.08	-245.612	91.6288
1839.93	-246.181	91.7955
1844.78	-246.749	91.9622
1849.63	-247.317	92.1289
1854.48	-247.886	92.2956
1859.34	-248.454	92.4624
1864.19	-249.022	92.6291
1869.04	-249.59	92.7958
1873.89	-250.159	92.9625
1878.74	-250.727	93.1292
1883.59	-251.295	93.2959
1888.44	-251.864	93.4626
1893.29	-252.432	93.6293
1898.14	-253	93.796
1902.99	-253.569	93.9627
1907.84	-254.137	94.1294
1912.69	-254.705	94.2961
1917.54	-255.273	94.4628
1922.39	-255.842	94.6295
1927.24	-256.41	94.7962
1932.09	-256.978	94.963
1936.94	-257.547	95.1297
1941.79	-258.115	95.2964
1946.64	-258.683	95.4631
1951.49	-259.252	95.6298
1956.35	-259.82	95.7965
1961.2	-260.388	95.9632
1966.05	-260.956	96.1299
1970.9	-261.525	96.2966
1975.75	-262.093	96.4633
1980.6	-262.661	96.63
1985.45	-263.23	96.7967
1990.3	-263.798	96.9634
1995.15	-264.366	97.1301
2000	-264.935	97.2968
