x	y	z
1585.17	-213.957	86.1612
1585.82	-214.24	86.4341
1590.57	-216.676	88.0273
1591.16	-216.979	88.2252
1595.59	-219.252	89.7115
1596.17	-219.552	89.9075
1600.6	-221.828	91.3958
1601.18	-222.125	91.5898
1605.62	-224.404	93.08
1606.19	-224.698	93.2721
1610.64	-226.981	94.7643
1611.2	-227.271	94.9543
1615.66	-229.557	96.4486
1616.22	-229.844	96.6366
1620.67	-232.133	98.1329
1621.23	-232.417	98.3189
1625.69	-234.709	99.8171
1626.24	-234.99	100.001
1630.71	-237.285	101.501
1631.25	-237.563	101.684
1635.72	-239.861	103.186
1636.26	-240.136	103.366
1640.74	-242.437	104.87
1641.27	-242.709	105.048
1645.76	-245.013	106.554
1646.28	-245.282	106.73
1650.78	-247.589	108.238
1651.3	-247.855	108.413
1655.79	-250.165	109.923
1656.31	-250.428	110.095
1660.81	-252.741	111.607
1661.32	-253.001	111.777
1665.83	-255.317	113.291
1666.33	-255.574	113.459
1670.85	-257.893	114.976
1671.34	-258.147	115.142
1675.86	-260.469	116.66
1676.35	-260.72	116.824
1680.88	-263.045	118.344
1681.36	-263.293	118.506
1685.9	-265.621	120.028
1686.37	-265.867	120.189
1690.91	-268.197	121.713
1691.39	-268.439	121.871
1695.93	-270.773	123.397
1696.4	-271.012	123.553
1700.95	-273.35	125.081
1701.41	-273.586	125.236
1705.97	-275.926	126.766
1706.42	-276.159	126.918
1710.98	-278.502	128.45
1711.43	-278.732	128.6
1716	-281.078	130.134
1716.44	-281.305	130.283
1721.02	-283.654	131.818
1721.45	-283.878	131.965
1726.04	-286.23	133.503
1726.47	-286.451	133.647
1731.05	-288.806	135.187
1731.48	-289.024	135.33
1736.07	-291.382	136.871
1736.49	-291.597	137.012
1741.09	-293.958	138.556
1741.5	-294.17	138.694
1746.11	-296.534	140.24
1746.51	-296.743	140.377
1751.12	-299.11	141.924
1751.52	-299.316	142.059
1756.14	-301.687	143.609
1756.53	-301.889	143.741
1761.16	-304.263	145.293
1761.55	-304.462	145.423
1766.17	-306.839	146.977
1766.56	-307.035	147.106
1771.19	-309.415	148.661
1771.57	-309.609	148.788
1776.21	-311.991	150.346
1776.58	-312.181	150.47
1781.23	-314.567	152.03
1781.59	-314.755	152.153
1786.24	-317.143	153.714
1786.6	-317.328	153.835
1791.26	-319.719	155.399
1791.62	-319.901	155.517
1796.28	-322.296	157.083
