x	y	z
2000	-260.09	103.663
1995.15	-259.522	103.497
1990.3	-258.954	103.33
1985.45	-258.385	103.163
1980.6	-257.817	102.997
1975.75	-257.249	102.83
1970.9	-256.681	102.663
1966.05	-256.112	102.496
1961.2	-255.544	102.33
1956.35	-254.976	102.163
1951.49	-254.407	101.996
1946.64	-253.839	101.83
1941.79	-253.271	101.663
1936.94	-252.702	101.496
1932.09	-252.134	101.33
1927.24	-251.566	101.163
1922.39	-250.998	100.996
1917.54	-250.429	100.829
1912.69	-249.861	100.663
1907.84	-249.293	100.496
1902.99	-248.724	100.329
1898.14	-248.156	100.163
1893.29	-247.588	99.9959
1888.44	-247.019	99.8292
1883.59	-246.451	99.6625
1878.74	-245.883	99.4958
1873.89	-245.315	99.3291
1869.04	-244.746	99.1624
1864.19	-244.178	98.9957
1859.34	-243.61	98.829
1854.48	-243.041	98.6623
1849.63	-242.473	98.4956
1844.78	-241.905	98.3289
1839.93	-241.337	98.1622
1835.08	-240.768	97.9955
1830.23	-240.2	97.8288
1825.38	-239.632	97.662
1820.53	-239.063	97.4953
1815.68	-238.495	97.3286
1810.83	-237.927	97.1619
1805.98	-237.358	96.9952
1801.13	-236.79	96.8285
1796.28	-236.222	96.6618
1791.43	-235.654	96.4951
1786.58	-235.085	96.3284
1781.73	-234.517	96.1617
1776.88	-233.949	95.995
1772.03	-233.38	95.8283
1767.18	-232.812	95.6616
1762.33	-232.244	95.4949
1757.48	-231.675	95.3281
1752.62	-231.107	95.1614
1747.77	-230.539	94.9947
1742.92	-229.97	94.828
1738.07	-229.402	94.6613
1733.22	-228.834	94.4946
1728.37	-228.266	94.3279
1723.52	-227.697	94.1612
1718.67	-227.129	93.9945
1713.82	-226.561	93.8278
1708.97	-225.992	93.6611
1704.12	-225.424	93.4944
1699.27	-224.856	93.3277
1694.42	-224.287	93.161
1689.57	-223.719	92.9943
1684.72	-223.151	92.8276
1679.87	-222.583	92.6608
1675.02	-222.014	92.4941
1670.17	-221.446	92.3274
1665.32	-220.878	92.1607
1660.47	-220.309	91.994
1655.61	-219.741	91.8273
1650.76	-219.173	91.6606
1645.91	-218.605	91.4939
1641.06	-218.036	91.3272
1636.21	-217.468	91.1605
1631.36	-216.9	90.9938
1626.51	-216.331	90.8271
1621.66	-215.763	90.6604
1616.81	-215.195	90.4937
1611.96	-214.626	90.327
1607.11	-214.058	90.1602
1602.26	-213.49	89.9935
1597.41	-212.922	89.8268
1595.4	-212.686	89.7578
