x	y	z
1987.92	-115.65	218.206
1987.92	-110.763	218.206
1987.92	-105.841	218.206
1987.92	-100.887	218.206
1987.92	-95.9013	218.206
1987.92	-90.8864	218.206
1987.92	-85.8435	218.206
1987.92	-80.7741	218.206
1987.92	-75.6799	218.206
1987.92	-70.5624	218.206
1987.92	-65.4231	218.206
1987.92	-60.2637	218.206
1987.92	-55.0857	218.206
1987.92	-49.8907	218.206
1987.92	-44.6804	218.206
1987.92	-39.4563	218.206
1987.92	-34.2201	218.206
1987.92	-28.9733	218.206
1987.92	-23.7176	218.206
1987.92	-18.4546	218.206
1987.92	-13.1859	218.206
1987.92	-7.9132	218.206
1987.92	-2.638	218.206
1987.92	2.638	218.206
1987.92	7.9132	218.206
1987.92	13.1859	218.206
1987.92	18.4546	218.206
1987.92	23.7176	218.206
1987.92	28.9733	218.206
1987.92	34.2201	218.206
1987.92	39.4563	218.206
1987.92	44.6804	218.206
1987.92	49.8907	218.206
1987.92	55.0857	218.206
1987.92	60.2637	218.206
1987.92	65.4231	218.206
1987.92	70.5624	218.206
1987.92	75.6799	218.206
1987.92	80.7741	218.206
1987.92	85.8435	218.206
1987.92	90.8864	218.206
1987.92	95.9013	218.206
1987.92	100.887	218.206
1987.92	105.841	218.206
1987.92	115.65	218.206
