x	y	z
1871.11	109.641	160
1883.11	109.641	166.928
1887.31	109.892	169.353
1891.51	110.142	171.779
1895.71	110.392	174.204
1899.91	110.643	176.629
1904.11	110.893	179.054
1908.31	111.144	181.48
1912.51	111.394	183.905
1916.71	111.644	186.33
1920.91	111.895	188.756
1925.11	112.145	191.181
1929.31	112.395	193.606
1933.52	112.646	196.031
1937.72	112.896	198.457
1941.92	113.147	200.882
1946.12	113.397	203.307
1950.32	113.647	205.732
1954.52	113.898	208.157
1958.72	114.148	210.583
1962.92	114.398	213.008
1967.12	114.649	215.433
1971.32	114.899	217.858
1975.52	115.15	220.284
1979.72	115.4	222.709
1983.92	115.65	225.134
