x	y	z
1887.11	-109.641	160
1891.31	-109.892	162.425
1895.51	-110.142	164.851
1899.71	-110.392	167.276
1903.91	-110.643	169.701
1908.11	-110.893	172.126
1912.31	-111.144	174.552
1916.51	-111.394	176.977
1920.71	-111.644	179.402
1924.91	-111.895	181.827
1929.11	-112.145	184.252
1933.31	-112.395	186.678
1937.52	-112.646	189.103
1941.72	-112.896	191.528
1945.92	-113.147	193.953
1950.12	-113.397	196.379
1954.32	-113.647	198.804
1958.52	-113.898	201.229
1962.72	-114.148	203.655
1966.92	-114.398	206.08
1971.12	-114.649	208.505
1975.32	-114.899	210.93
1979.52	-115.15	213.356
1983.72	-115.4	215.781
1987.92	-115.65	218.206
