x	y	z
1983.92	115.65	225.134
1983.92	110.763	225.134
1983.92	105.841	225.134
1983.92	100.887	225.134
1983.92	95.9013	225.134
1983.92	90.8864	225.134
1983.92	85.8435	225.134
1983.92	80.7741	225.134
1983.92	75.6799	225.134
1983.92	70.5624	225.134
1983.92	65.4231	225.134
1983.92	60.2637	225.134
1983.92	55.0857	225.134
1983.92	49.8907	225.134
1983.92	44.6804	225.134
1983.92	39.4563	225.134
1983.92	34.2201	225.134
1983.92	28.9733	225.134
1983.92	23.7176	225.134
1983.92	18.4546	225.134
1983.92	13.1859	225.134
1983.92	7.9132	225.134
1983.92	2.638	225.134
1983.92	-2.638	225.134
1983.92	-7.9132	225.134
1983.92	-13.1859	225.134
1983.92	-18.4546	225.134
1983.92	-23.7176	225.134
1983.92	-28.9733	225.134
1983.92	-34.2201	225.134
1983.92	-39.4563	225.134
1983.92	-44.6804	225.134
1983.92	-49.8907	225.134
1983.92	-55.0857	225.134
1983.92	-60.2637	225.134
1983.92	-65.4231	225.134
1983.92	-70.5624	225.134
1983.92	-75.6799	225.134
1983.92	-80.7741	225.134
1983.92	-85.8435	225.134
1983.92	-90.8864	225.134
1983.92	-95.9013	225.134
1983.92	-100.887	225.134
1983.92	-105.841	225.134
1983.92	-115.65	225.134
