x	y	z
19.25	-38.4999	1.0466
18.9508	-38.4949	1.0535
18.9448	-38.4948	1.05364
18.6517	-38.4808	1.06039
18.6396	-38.4802	1.06067
18.3527	-38.4573	1.06729
18.3346	-38.4558	1.0677
18.0541	-38.4245	1.07417
18.0299	-38.4218	1.07473
17.7556	-38.3824	1.08105
17.7254	-38.3781	1.08175
17.4576	-38.3312	1.08792
17.4213	-38.3248	1.08876
17.1601	-38.2706	1.09478
17.1177	-38.2619	1.09575
16.863	-38.2008	1.10163
16.8146	-38.1892	1.10274
16.5667	-38.1218	1.10846
16.5122	-38.107	1.10971
16.2709	-38.0337	1.11528
16.2104	-38.0153	1.11667
15.9759	-37.9363	1.12208
15.9094	-37.9139	1.12361
15.6818	-37.8299	1.12886
15.6092	-37.803	1.13053
15.3886	-37.7143	1.13562
15.31	-37.6827	1.13743
15.0963	-37.5896	1.14235
15.0117	-37.5528	1.1443
14.805	-37.456	1.14907
14.7145	-37.4136	1.15115
14.515	-37.3134	1.15575
14.4184	-37.2649	1.15798
14.2261	-37.1618	1.16241
14.1236	-37.1068	1.16478
13.9385	-37.0012	1.16904
13.83	-36.9394	1.17154
13.6522	-36.8319	1.17564
13.5378	-36.7627	1.17828
13.3674	-36.6538	1.18221
13.2471	-36.5768	1.18498
13.084	-36.4668	1.18874
12.9578	-36.3817	1.19165
12.8022	-36.2712	1.19524
12.6701	-36.1774	1.19828
12.522	-36.0669	1.2017
12.3841	-35.964	1.20488
12.2435	-35.854	1.20812
12.0998	-35.7416	1.21143
11.9668	-35.6327	1.2145
11.8173	-35.5103	1.21794
11.6919	-35.4029	1.22083
11.5367	-35.2699	1.22441
11.4189	-35.1646	1.22713
11.258	-35.0208	1.23083
11.148	-34.9181	1.23337
10.9814	-34.7627	1.23721
10.8791	-34.6634	1.23957
10.7068	-34.496	1.24354
10.6122	-34.4004	1.24572
10.4343	-34.2206	1.24982
10.3476	-34.1294	1.25182
10.1641	-33.9365	1.25605
10.0852	-33.8504	1.25787
9.8962	-33.644	1.26223
9.82512	-33.5635	1.26387
9.6306	-33.343	1.26835
9.56739	-33.2687	1.26981
9.3674	-33.0336	1.27442
9.31211	-32.9662	1.27569
9.1067	-32.716	1.28043
9.05935	-32.6562	1.28152
8.8486	-32.3901	1.28638
8.80913	-32.3385	1.28729
8.593	-32.056	1.29227
8.56155	-32.0134	1.29299
8.3402	-31.7138	1.2981
8.31669	-31.6809	1.29864
8.0901	-31.3637	1.30386
8.07457	-31.3412	1.30422
7.8428	-31.0057	1.30956
7.83528	-30.9944	1.30974
7.61142	-30.6595	1.3149
7.59882	-30.6406	1.31519
7.5984	-30.64	1.3152
7.36528	-30.2791	1.32057
7.3569	-30.2661	1.32076
7.13468	-29.9107	1.32589
7.1184	-29.8847	1.32626
6.90709	-29.5356	1.33113
6.8829	-29.4957	1.33169
6.68262	-29.1541	1.33631
6.6505	-29.0993	1.33705
6.46134	-28.7661	1.34141
6.4214	-28.6957	1.34233
6.2433	-28.3719	1.34644
6.1954	-28.2848	1.34754
6.02847	-27.9714	1.35139
5.9727	-27.8667	1.35267
5.81702	-27.5651	1.35626
5.7534	-27.4418	1.35773
5.60892	-27.1527	1.36106
5.5375	-27.0098	1.36271
5.40425	-26.7348	1.36578
5.325	-26.5711	1.3676
5.20305	-26.3112	1.37042
5.116	-26.1257	1.37242
5.00536	-25.8824	1.37497
4.9105	-25.6738	1.37716
4.81121	-25.4482	1.37945
4.7087	-25.2154	1.38181
4.62076	-25.0091	1.38384
4.5105	-24.7506	1.38638
4.43395	-24.5651	1.38815
4.3161	-24.2796	1.39086
4.25086	-24.1165	1.39237
4.1253	-23.8025	1.39526
4.07147	-23.6634	1.3965
3.9384	-23.3194	1.39957
3.89599	-23.2061	1.40055
3.7554	-22.8305	1.40379
3.72431	-22.7447	1.4045
3.5762	-22.3358	1.40792
3.55652	-22.2796	1.40837
3.401	-21.8355	1.41196
3.3927	-21.811	1.41215
3.27588	-21.4661	1.41484
3.2327	-21.3385	1.41584
3.2297	-21.3296	1.41591
3.0766	-20.8611	1.41944
3.0625	-20.8179	1.41976
2.92448	-20.3806	1.42294
2.8994	-20.3011	1.42352
2.77643	-19.8976	1.42636
2.7403	-19.7791	1.42719
2.63249	-19.4124	1.42967
2.5854	-19.2522	1.43076
2.49268	-18.925	1.4329
2.4347	-18.7203	1.43423
2.35709	-18.4359	1.43602
2.2883	-18.1838	1.43761
2.22564	-17.9454	1.43905
2.1461	-17.6427	1.44089
2.09845	-17.4542	1.44198
2.0082	-17.0972	1.44406
1.97546	-16.9625	1.44482
1.8746	-16.5474	1.44714
1.85672	-16.4707	1.44756
1.7454	-15.9934	1.45012
1.74227	-15.9794	1.4502
1.71883	-15.8746	1.45074
1.63182	-15.4851	1.45274
1.6206	-15.4349	1.453
1.52562	-14.9911	1.45519
1.5002	-14.8723	1.45578
1.42368	-14.4984	1.45754
1.3843	-14.306	1.45845
1.32611	-14.0083	1.45979
1.2729	-13.7361	1.46102
1.23284	-13.5213	1.46194
1.166	-13.1627	1.46348
1.14398	-13.0386	1.46399
1.0637	-12.5861	1.46584
1.05938	-12.5605	1.46594
1.03977	-12.4442	1.46639
0.978726	-12.0817	1.4678
0.9659	-12.0056	1.46809
0.902283	-11.6067	1.46956
0.8728	-11.4218	1.47024
0.830002	-11.1385	1.47123
0.7842	-10.8352	1.47228
0.761999	-10.6793	1.47279
0.7003	-10.2459	1.47422
0.698209	-10.2303	1.47426
0.69194	-10.1834	1.47441
0.638067	-9.78006	1.47565
0.6211	-9.65305	1.47604
0.581883	-9.34007	1.47695
0.5465	-9.0576	1.47776
0.529724	-8.91414	1.47815
0.492498	-8.5959	1.47901
0.481319	-8.50013	1.47926
0.4766	-8.45969	1.47937
0.436365	-8.08811	1.4803
0.4115	-7.85855	1.48087
0.395057	-7.69439	1.48125
0.367963	-7.42387	1.48188
0.35717	-7.31585	1.48213
0.3511	-7.25509	1.48227
0.322385	-6.94249	1.48293
0.2954	-6.64875	1.48355
0.29076	-6.59331	1.48366
0.285157	-6.52638	1.48379
0.262012	-6.24911	1.48432
0.2445	-6.03933	1.48472
0.235996	-5.92658	1.48492
0.227753	-5.81727	1.48511
0.212556	-5.61515	1.48546
0.1984	-5.42687	1.48579
0.191418	-5.32298	1.48595
0.185981	-5.24208	1.48607
0.172536	-5.04129	1.48638
0.1571	-4.8109	1.48674
0.155507	-4.78393	1.48677
0.154517	-4.76717	1.4868
0.140484	-4.5287	1.48712
0.131042	-4.36828	1.48734
0.126944	-4.29838	1.48743
0.1206	-4.19017	1.48758
0.114914	-4.07828	1.48771
0.112351	-4.02785	1.48777
0.104302	-3.86873	1.48795
0.0974791	-3.73387	1.48811
0.0946747	-3.67817	1.48818
0.0889	-3.56352	1.48831
0.0861395	-3.49883	1.48837
0.0852417	-3.47779	1.48839
0.0787464	-3.32473	1.48854
0.0756539	-3.25191	1.48861
0.0720226	-3.16591	1.4887
0.0672092	-3.05182	1.48881
0.0658884	-3.02034	1.48884
0.062	-2.9277	1.48893
0.0604427	-2.88249	1.48897
0.0601055	-2.87271	1.48897
0.0558452	-2.74828	1.48907
0.0545907	-2.71163	1.4891
0.0516347	-2.62469	1.48917
0.0496416	-2.56602	1.48921
0.0477625	-2.51037	1.48926
0.0451617	-2.43335	1.48932
0.0441935	-2.40445	1.48934
0.0410917	-2.31192	1.48941
