x	y	z
19.25	-38.4999	1.0466
19.25	-38.4918	1.3956
19.25	-38.4711	1.7445
19.25	-38.4378	2.0931
19.25	-38.3918	2.4413
19.25	-38.3331	2.7891
19.25	-38.2619	3.1363
19.25	-38.1781	3.4828
19.25	-38.0818	3.8285
19.25	-37.9729	4.1732
19.25	-37.8516	4.5169
19.25	-37.7178	4.8594
19.25	-37.5716	5.2007
19.25	-37.4131	5.5406
19.25	-37.2423	5.879
19.25	-37.0592	6.2158
19.25	-36.8639	6.5509
19.25	-36.6565	6.8841
19.25	-36.4371	7.2155
19.25	-36.2057	7.5447
19.25	-35.9624	7.8719
19.25	-35.7073	8.1967
19.25	-35.4404	8.5192
19.25	-35.1619	8.8393
19.25	-34.8719	9.1567
19.25	-34.5703	9.4715
19.25	-34.2574	9.7835
19.25	-33.9333	10.0926
19.25	-33.5979	10.3987
19.25	-33.2516	10.7017
19.25	-32.8943	11.0015
19.25	-32.5262	11.2981
19.25	-32.1474	11.5912
19.25	-31.7581	11.8809
19.25	-31.3583	12.167
19.25	-30.9481	12.4494
19.25	-30.5279	12.7281
19.25	-30.0976	13.0029
19.25	-29.6573	13.2737
19.25	-29.2074	13.5405
19.25	-28.7478	13.8032
19.25	-28.2788	14.0617
19.25	-27.8005	14.3159
19.25	-27.3131	14.5658
19.25	-26.8167	14.8111
19.25	-26.3114	15.0519
19.25	-25.7975	15.2881
19.25	-25.2752	15.5196
19.25	-24.7445	15.7464
19.25	-24.2057	15.9683
19.25	-23.6589	16.1852
19.25	-23.1044	16.3972
19.25	-22.5422	16.6041
19.25	-21.9727	16.8059
19.25	-21.3959	17.0025
19.25	-20.8121	17.1938
19.25	-20.2215	17.3798
19.25	-19.6242	17.5604
19.25	-19.0205	17.7356
19.25	-18.4105	17.9052
19.25	-17.7944	18.0693
19.25	-17.1725	18.2278
19.25	-16.545	18.3807
19.25	-15.912	18.5278
19.25	-15.2738	18.6691
19.25	-14.6306	18.8047
19.25	-13.9825	18.9344
19.25	-13.3299	19.0582
19.25	-12.6729	19.1761
19.25	-12.0117	19.288
19.25	-11.3466	19.3938
19.25	-10.6777	19.4937
19.25	-10.0053	19.5874
19.25	-9.3297	19.6751
19.25	-8.6509	19.7566
19.25	-7.9694	19.8319
19.25	-7.2852	19.901
19.25	-6.5986	19.964
19.25	-5.9098	20.0207
19.25	-5.2192	20.0711
19.25	-4.5267	20.1153
19.25	-3.8328	20.1532
19.25	-3.1377	20.1848
19.25	-2.4415	20.2101
19.25	-1.7445	20.2291
19.25	-1.0469	20.2417
19.25	-0.349	20.248
19.25	0.349	20.248
19.25	1.0469	20.2417
19.25	1.7445	20.2291
19.25	2.4415	20.2101
19.25	3.1377	20.1848
19.25	3.8328	20.1532
19.25	4.5267	20.1153
19.25	5.2192	20.0711
19.25	5.9098	20.0207
19.25	6.5986	19.964
19.25	7.2852	19.901
19.25	7.9694	19.8319
19.25	8.6509	19.7566
19.25	9.3297	19.6751
19.25	10.0053	19.5874
19.25	10.6777	19.4937
19.25	11.3466	19.3938
19.25	12.0117	19.288
19.25	12.6729	19.1761
19.25	13.3299	19.0582
19.25	13.9825	18.9344
19.25	14.6306	18.8047
19.25	15.2738	18.6691
19.25	15.912	18.5278
19.25	16.545	18.3807
19.25	17.1725	18.2278
19.25	17.7944	18.0693
19.25	18.4105	17.9052
19.25	19.0205	17.7356
19.25	19.6242	17.5604
19.25	20.2215	17.3798
19.25	20.8121	17.1938
19.25	21.3959	17.0025
19.25	21.9727	16.8059
19.25	22.5422	16.6041
19.25	23.1044	16.3972
19.25	23.6589	16.1852
19.25	24.2057	15.9683
19.25	24.7445	15.7464
19.25	25.2752	15.5196
19.25	25.7975	15.2881
19.25	26.3114	15.0519
19.25	26.8167	14.8111
19.25	27.3131	14.5658
19.25	27.8005	14.3159
19.25	28.2788	14.0617
19.25	28.7478	13.8032
19.25	29.2074	13.5405
19.25	29.6573	13.2737
19.25	30.0976	13.0029
19.25	30.5279	12.7281
19.25	30.9481	12.4494
19.25	31.3583	12.167
19.25	31.7581	11.8809
19.25	32.1474	11.5912
19.25	32.5262	11.2981
19.25	32.8943	11.0015
19.25	33.2516	10.7017
19.25	33.5979	10.3987
19.25	33.9333	10.0926
19.25	34.2574	9.7835
19.25	34.5703	9.4715
19.25	34.8719	9.1567
19.25	35.1619	8.8393
19.25	35.4404	8.5192
19.25	35.7073	8.1967
19.25	35.9624	7.8719
19.25	36.2057	7.5447
19.25	36.4371	7.2155
19.25	36.6565	6.8841
19.25	36.8639	6.5509
19.25	37.0592	6.2158
19.25	37.2423	5.879
19.25	37.4131	5.5406
19.25	37.5716	5.2007
19.25	37.7178	4.8594
19.25	37.8516	4.5169
19.25	37.9729	4.1732
19.25	38.0818	3.8285
19.25	38.1781	3.4828
19.25	38.2619	3.1363
19.25	38.3331	2.7891
19.25	38.3918	2.4413
19.25	38.4378	2.0931
19.25	38.4711	1.7445
19.25	38.4918	1.3956
19.25	38.4999	1.0466
19.25	38.4999	1.0466
