x	y	z
2000	-300.617	0
2000	-300.571	-1.0547
2000	-300.432	-2.1091
2000	-300.2	-3.1629
2000	-299.877	-4.2157
2000	-299.46	-5.2672
2000	-298.952	-6.317
2000	-298.351	-7.3649
2000	-297.659	-8.4106
2000	-296.875	-9.4537
2000	-295.999	-10.4938
2000	-295.032	-11.5307
2000	-293.974	-12.5641
2000	-292.826	-13.5936
2000	-291.588	-14.6189
2000	-290.26	-15.6397
2000	-288.842	-16.6557
2000	-287.335	-17.6665
2000	-285.74	-18.6719
2000	-284.057	-19.6716
2000	-282.287	-20.6652
2000	-280.429	-21.6524
2000	-278.485	-22.633
2000	-276.455	-23.6066
2000	-274.341	-24.5729
2000	-272.141	-25.5317
2000	-269.858	-26.4826
2000	-267.491	-27.4253
2000	-265.043	-28.3596
2000	-262.512	-29.2851
2000	-259.901	-30.2017
2000	-257.21	-31.1089
2000	-254.439	-32.0065
2000	-251.591	-32.8943
2000	-248.664	-33.772
2000	-245.661	-34.6392
2000	-242.583	-35.4958
2000	-239.429	-36.3414
2000	-236.202	-37.1759
2000	-232.902	-37.9989
2000	-229.531	-38.8102
2000	-226.088	-39.6095
2000	-222.576	-40.3967
2000	-218.996	-41.1714
2000	-215.348	-41.9334
2000	-211.634	-42.6825
2000	-207.854	-43.4185
2000	-204.011	-44.141
2000	-200.104	-44.85
2000	-196.136	-45.5452
2000	-192.108	-46.2263
2000	-188.02	-46.8932
2000	-183.875	-47.5457
2000	-179.673	-48.1835
2000	-175.415	-48.8065
2000	-171.104	-49.4144
2000	-166.74	-50.0071
2000	-162.324	-50.5844
2000	-157.858	-51.1462
2000	-153.344	-51.6922
2000	-148.783	-52.2222
2000	-144.176	-52.7362
2000	-139.524	-53.2339
2000	-134.829	-53.7152
2000	-130.093	-54.18
2000	-125.317	-54.6281
2000	-120.502	-55.0594
2000	-115.65	-55.4737
2000	-110.763	-55.8709
2000	-105.841	-56.2509
2000	-100.887	-56.6136
2000	-95.9013	-56.9589
2000	-90.8864	-57.2866
2000	-85.8435	-57.5966
2000	-80.7741	-57.8889
2000	-75.6799	-58.1634
2000	-70.5624	-58.42
2000	-65.4231	-58.6586
2000	-60.2637	-58.8791
2000	-55.0857	-59.0815
2000	-49.8907	-59.2656
2000	-44.6804	-59.4315
2000	-39.4563	-59.5792
2000	-34.2201	-59.7084
2000	-28.9733	-59.8193
2000	-23.7176	-59.9117
2000	-18.4546	-59.9857
2000	-13.1859	-60.0412
2000	-7.9132	-60.0782
2000	-2.638	-60.0968
2000	2.638	-60.0968
2000	7.9132	-60.0782
2000	13.1859	-60.0412
2000	18.4546	-59.9857
2000	23.7176	-59.9117
2000	28.9733	-59.8193
2000	34.2201	-59.7084
2000	39.4563	-59.5792
2000	44.6804	-59.4315
2000	49.8907	-59.2656
2000	55.0857	-59.0815
2000	60.2637	-58.8791
2000	65.4231	-58.6586
2000	70.5624	-58.42
2000	75.6799	-58.1634
2000	80.7741	-57.8889
2000	85.8435	-57.5966
2000	90.8864	-57.2866
2000	95.9013	-56.9589
2000	100.887	-56.6136
2000	105.841	-56.2509
2000	110.763	-55.8709
2000	115.65	-55.4737
2000	120.502	-55.0594
2000	125.317	-54.6281
2000	130.093	-54.18
2000	134.829	-53.7152
2000	139.524	-53.2339
2000	144.176	-52.7362
2000	148.783	-52.2222
2000	153.344	-51.6922
2000	157.858	-51.1462
2000	162.324	-50.5844
2000	166.74	-50.0071
2000	171.104	-49.4144
2000	175.415	-48.8065
2000	179.673	-48.1835
2000	183.875	-47.5457
2000	188.02	-46.8932
2000	192.108	-46.2263
2000	196.136	-45.5452
2000	200.104	-44.85
2000	204.011	-44.141
2000	207.854	-43.4185
2000	211.634	-42.6825
2000	215.348	-41.9334
2000	218.996	-41.1714
2000	222.576	-40.3967
2000	226.088	-39.6095
2000	229.531	-38.8102
2000	232.902	-37.9989
2000	236.202	-37.1759
2000	239.429	-36.3414
2000	242.583	-35.4958
2000	245.661	-34.6392
2000	248.664	-33.772
2000	251.591	-32.8943
2000	254.439	-32.0065
2000	257.21	-31.1089
2000	259.901	-30.2017
2000	262.512	-29.2851
2000	265.043	-28.3596
2000	267.491	-27.4253
2000	269.858	-26.4826
2000	272.141	-25.5317
2000	274.341	-24.5729
2000	276.455	-23.6066
2000	278.485	-22.633
2000	280.429	-21.6524
2000	282.287	-20.6652
2000	284.057	-19.6716
2000	285.74	-18.6719
2000	287.335	-17.6665
2000	288.842	-16.6557
2000	290.26	-15.6397
2000	291.588	-14.6189
2000	292.826	-13.5936
2000	293.974	-12.5641
2000	295.032	-11.5307
2000	295.999	-10.4938
2000	296.875	-9.4537
2000	297.659	-8.4106
2000	298.351	-7.3649
2000	298.952	-6.317
2000	299.46	-5.2672
2000	299.877	-4.2157
2000	300.2	-3.1629
2000	300.432	-2.1091
2000	300.571	-1.0547
2000	300.617	0
2000	300.617	0
