x	y	z
64.6509	-40.9517	0
64.6509	-40.9201	-0.7223
64.6509	-40.8259	-1.4417
64.6509	-40.6701	-2.1554
64.6509	-40.4544	-2.8607
64.6509	-40.1811	-3.5551
64.6509	-39.8532	-4.2362
64.6509	-39.4739	-4.9018
64.6509	-39.047	-5.5502
64.6509	-38.5765	-6.1797
64.6509	-38.0664	-6.7891
64.6509	-37.5211	-7.3774
64.6509	-36.9447	-7.9438
64.6509	-36.3415	-8.4877
64.6509	-35.7153	-9.0091
64.6509	-35.0702	-9.5077
64.6509	-34.4096	-9.9837
64.6509	-33.737	-10.4375
64.6509	-33.0554	-10.8695
64.6509	-32.3677	-11.2802
64.6509	-31.6764	-11.6702
64.6509	-30.9838	-12.0402
64.6509	-30.292	-12.391
64.6509	-29.6026	-12.7234
64.6509	-28.9172	-13.0382
64.6509	-28.2372	-13.3361
64.6509	-27.5636	-13.6181
64.6509	-26.8974	-13.8848
64.6509	-26.2393	-14.1371
64.6509	-25.5901	-14.3757
64.6509	-24.9501	-14.6013
64.6509	-24.3198	-14.8148
64.6509	-23.6994	-15.0167
64.6509	-23.0892	-15.2076
64.6509	-22.4892	-15.3883
64.6509	-21.8996	-15.5593
64.6509	-21.3202	-15.7212
64.6509	-20.751	-15.8744
64.6509	-20.192	-16.0195
64.6509	-19.643	-16.1569
64.6509	-19.1038	-16.2871
64.6509	-18.5743	-16.4104
64.6509	-18.0542	-16.5274
64.6509	-17.5434	-16.6382
64.6509	-17.0415	-16.7433
64.6509	-16.5484	-16.8431
64.6509	-16.0638	-16.9376
64.6509	-15.5874	-17.0274
64.6509	-15.119	-17.1126
64.6509	-14.6583	-17.1934
64.6509	-14.2051	-17.2701
64.6509	-13.7592	-17.343
64.6509	-13.3202	-17.4121
64.6509	-12.8879	-17.4778
64.6509	-12.462	-17.5401
64.6509	-12.0424	-17.5993
64.6509	-11.6287	-17.6554
64.6509	-11.2208	-17.7087
64.6509	-10.8183	-17.7593
64.6509	-10.4212	-17.8072
64.6509	-10.0291	-17.8527
64.6509	-9.6418	-17.8958
64.6509	-9.2591	-17.9366
64.6509	-8.8808	-17.9752
64.6509	-8.5068	-18.0117
64.6509	-8.1367	-18.0463
64.6509	-7.7705	-18.0789
64.6509	-7.4078	-18.1096
64.6509	-7.0486	-18.1386
64.6509	-6.6926	-18.1658
64.6509	-6.3397	-18.1914
64.6509	-5.9897	-18.2154
64.6509	-5.6424	-18.2378
64.6509	-5.2977	-18.2587
64.6509	-4.9553	-18.2781
64.6509	-4.6151	-18.2961
64.6509	-4.277	-18.3127
64.6509	-3.9408	-18.3279
64.6509	-3.6064	-18.3419
64.6509	-3.2735	-18.3545
64.6509	-2.9421	-18.3658
64.6509	-2.612	-18.3759
64.6509	-2.283	-18.3848
64.6509	-1.955	-18.3924
64.6509	-1.6279	-18.3988
64.6509	-1.3015	-18.4041
64.6509	-0.9756	-18.4082
64.6509	-0.6502	-18.4111
64.6509	-0.325	-18.4128
64.6509	0	-18.4134
64.6509	0.325	-18.4128
64.6509	0.6502	-18.4111
64.6509	0.9756	-18.4082
64.6509	1.3015	-18.4041
64.6509	1.6279	-18.3988
64.6509	1.955	-18.3924
64.6509	2.283	-18.3848
64.6509	2.612	-18.3759
64.6509	2.9421	-18.3658
64.6509	3.2735	-18.3545
64.6509	3.6064	-18.3419
64.6509	3.9408	-18.3279
64.6509	4.277	-18.3127
64.6509	4.6151	-18.2961
64.6509	4.9553	-18.2781
64.6509	5.2977	-18.2587
64.6509	5.6424	-18.2378
64.6509	5.9897	-18.2154
64.6509	6.3397	-18.1914
64.6509	6.6926	-18.1658
64.6509	7.0486	-18.1386
64.6509	7.4078	-18.1096
64.6509	7.7705	-18.0789
64.6509	8.1367	-18.0463
64.6509	8.5068	-18.0117
64.6509	8.8808	-17.9752
64.6509	9.2591	-17.9366
64.6509	9.6418	-17.8958
64.6509	10.0291	-17.8527
64.6509	10.4212	-17.8072
64.6509	10.8183	-17.7593
64.6509	11.2208	-17.7087
64.6509	11.6287	-17.6554
64.6509	12.0424	-17.5993
64.6509	12.462	-17.5401
64.6509	12.8879	-17.4778
64.6509	13.3202	-17.4121
64.6509	13.7592	-17.343
64.6509	14.2051	-17.2701
64.6509	14.6583	-17.1934
64.6509	15.119	-17.1126
64.6509	15.5874	-17.0274
64.6509	16.0638	-16.9376
64.6509	16.5484	-16.8431
64.6509	17.0415	-16.7433
