x	y	z
19.25	-38.4999	1.0466
19.25	-38.4481	0
19.25	-38.4087	-0.3261
19.25	-38.3582	-0.6518
19.25	-38.2967	-0.977
19.25	-38.2241	-1.3017
19.25	-38.1405	-1.6257
19.25	-38.0459	-1.9489
19.25	-37.9404	-2.2713
19.25	-37.824	-2.5928
19.25	-37.6966	-2.9132
19.25	-37.5584	-3.2325
19.25	-37.4094	-3.5506
19.25	-37.2496	-3.8673
19.25	-37.0791	-4.1827
19.25	-36.8979	-4.4966
19.25	-36.7061	-4.8088
19.25	-36.5037	-5.1195
19.25	-36.2907	-5.4283
19.25	-36.0674	-5.7353
19.25	-35.8336	-6.0404
19.25	-35.5896	-6.3434
19.25	-35.3352	-6.6443
19.25	-35.0707	-6.9431
19.25	-34.7961	-7.2395
19.25	-34.5115	-7.5335
19.25	-34.217	-7.8251
19.25	-33.9126	-8.1142
19.25	-33.5984	-8.4006
19.25	-33.2745	-8.6844
19.25	-32.9411	-8.9653
19.25	-32.5982	-9.2434
19.25	-32.2459	-9.5185
19.25	-31.8842	-9.7906
19.25	-31.5135	-10.0596
19.25	-31.1336	-10.3254
19.25	-30.7448	-10.5879
19.25	-30.3471	-10.8471
19.25	-29.9407	-11.1029
19.25	-29.5256	-11.3552
19.25	-29.1021	-11.6039
19.25	-28.6702	-11.8491
19.25	-28.23	-12.0905
19.25	-27.7817	-12.3281
19.25	-27.3253	-12.5619
19.25	-26.8612	-12.7918
19.25	-26.3892	-13.0178
19.25	-25.9097	-13.2397
19.25	-25.4227	-13.4575
19.25	-24.9284	-13.6711
19.25	-24.4269	-13.8805
19.25	-23.9184	-14.0856
19.25	-23.403	-14.2864
19.25	-22.8809	-14.4828
19.25	-22.3521	-14.6747
19.25	-21.8169	-14.8621
19.25	-21.2755	-15.0449
19.25	-20.7279	-15.2231
19.25	-20.1743	-15.3967
19.25	-19.615	-15.5655
19.25	-19.05	-15.7295
19.25	-18.4795	-15.8888
19.25	-17.9036	-16.0431
19.25	-17.3227	-16.1926
19.25	-16.7367	-16.3371
19.25	-16.1459	-16.4766
19.25	-15.5505	-16.6111
19.25	-14.9505	-16.7405
19.25	-14.3463	-16.8648
19.25	-13.738	-16.9839
19.25	-13.1256	-17.0979
19.25	-12.5095	-17.2067
19.25	-11.8898	-17.3102
19.25	-11.2667	-17.4084
19.25	-10.6404	-17.5014
19.25	-10.0109	-17.589
19.25	-9.3786	-17.6713
19.25	-8.7436	-17.7482
19.25	-8.1061	-17.8197
19.25	-7.4662	-17.8857
19.25	-6.8242	-17.9464
19.25	-6.1802	-18.0015
19.25	-5.5345	-18.0512
19.25	-4.8871	-18.0955
19.25	-4.2383	-18.1342
19.25	-3.5884	-18.1674
19.25	-2.9373	-18.1951
19.25	-2.2855	-18.2172
19.25	-1.6329	-18.2339
19.25	-0.98	-18.2449
19.25	-0.3267	-18.2505
19.25	0.3267	-18.2505
19.25	0.98	-18.2449
19.25	1.6329	-18.2339
19.25	2.2855	-18.2172
19.25	2.9373	-18.1951
19.25	3.5884	-18.1674
19.25	4.2383	-18.1342
19.25	4.8871	-18.0955
19.25	5.5345	-18.0512
19.25	6.1802	-18.0015
19.25	6.8242	-17.9464
19.25	7.4662	-17.8857
19.25	8.1061	-17.8197
19.25	8.7436	-17.7482
19.25	9.3786	-17.6713
19.25	10.0109	-17.589
19.25	10.6404	-17.5014
19.25	11.2667	-17.4084
19.25	11.8898	-17.3102
19.25	12.5095	-17.2067
19.25	13.1256	-17.0979
19.25	13.738	-16.9839
19.25	14.3463	-16.8648
19.25	14.9505	-16.7405
19.25	15.5505	-16.6111
19.25	16.1459	-16.4766
19.25	16.7367	-16.3371
19.25	17.3227	-16.1926
19.25	17.9036	-16.0431
19.25	18.4795	-15.8888
19.25	19.05	-15.7295
19.25	19.615	-15.5655
19.25	20.1743	-15.3967
19.25	20.7279	-15.2231
19.25	21.2755	-15.0449
19.25	21.8169	-14.8621
19.25	22.3521	-14.6747
19.25	22.8809	-14.4828
19.25	23.403	-14.2864
19.25	23.9184	-14.0856
19.25	24.4269	-13.8805
19.25	24.9284	-13.6711
19.25	25.4227	-13.4575
19.25	25.9097	-13.2397
19.25	26.3892	-13.0178
19.25	26.8612	-12.7918
19.25	27.3253	-12.5619
19.25	27.7817	-12.3281
19.25	28.23	-12.0905
19.25	28.6702	-11.8491
19.25	29.1021	-11.6039
19.25	29.5256	-11.3552
19.25	29.9407	-11.1029
19.25	30.3471	-10.8471
19.25	30.7448	-10.5879
19.25	31.1336	-10.3254
19.25	31.5135	-10.0596
19.25	31.8842	-9.7906
19.25	32.2459	-9.5185
19.25	32.5982	-9.2434
19.25	32.9411	-8.9653
19.25	33.2745	-8.6844
19.25	33.5984	-8.4006
19.25	33.9126	-8.1142
19.25	34.217	-7.8251
19.25	34.5115	-7.5335
19.25	34.7961	-7.2395
19.25	35.0707	-6.9431
19.25	35.3352	-6.6443
19.25	35.5896	-6.3434
19.25	35.8336	-6.0404
19.25	36.0674	-5.7353
19.25	36.2907	-5.4283
19.25	36.5037	-5.1195
19.25	36.7061	-4.8088
19.25	36.8979	-4.4966
19.25	37.0791	-4.1827
19.25	37.2496	-3.8673
19.25	37.4094	-3.5506
19.25	37.5584	-3.2325
19.25	37.6966	-2.9132
19.25	37.824	-2.5928
19.25	37.9404	-2.2713
19.25	38.0459	-1.9489
19.25	38.1405	-1.6257
19.25	38.2241	-1.3017
19.25	38.2967	-0.977
19.25	38.3582	-0.6518
19.25	38.4087	-0.3261
19.25	38.4481	0
19.25	38.4999	1.0466
19.25	38.4999	1.0466
